batter,total_runs,balls_faced,total_boundaries,strike_rate
A Ashish Reddy,280,191,31,146.6
A Badoni,633,465,70,136.13
A Chandila,4,7,0,57.14
A Chopra,53,70,7,75.71
A Choudhary,25,20,2,125.0
A Dananjaya,4,5,0,80.0
A Flintoff,62,50,7,124.0
A Kamboj,2,2,0,100.0
A Kumble,35,45,3,77.78
A Manohar,231,174,31,132.76
A Mishra,380,408,36,93.14
A Mithun,34,24,5,141.67
A Mukund,19,22,1,86.36
A Nehra,39,55,4,70.91
A Nortje,49,48,6,102.08
A Raghuvanshi,163,102,24,159.8
A Singh,2,9,0,22.22
A Symonds,973,734,115,132.56
A Tomar,4,8,1,50.0
A Uniyal,4,7,0,57.14
A Zampa,15,24,1,62.5
AA Bilakhia,69,81,5,85.19
AA Chavan,12,11,2,109.09
AA Jhunjhunwala,217,206,24,105.34
AA Kulkarni,9,8,2,112.5
AA Noffke,9,10,1,90.0
AB Agarkar,177,147,18,120.41
AB Barath,42,41,6,102.44
AB Dinda,26,46,2,56.52
AB McDonald,123,96,13,128.13
AB de Villiers,5148,3344,662,153.95
AC Blizzard,120,88,23,136.36
AC Gilchrist,2046,1438,326,142.28
AC Thomas,20,19,2,105.26
AC Voges,181,137,18,132.12
AD Hales,147,116,19,126.72
AD Mascarenhas,79,77,6,102.6
AD Mathews,722,566,73,127.56
AD Nath,90,98,9,91.84
AD Russell,2465,1392,376,177.08
AF Milne,23,29,1,79.31
AG Murtaza,10,14,1,71.43
AG Paunikar,48,54,9,88.89
AJ Finch,2083,1571,291,132.59
AJ Hosein,16,10,2,160.0
AJ Turner,24,27,2,88.89
AJ Tye,91,70,11,130.0
AK Markram,995,762,108,130.58
AL Menaria,395,352,41,112.22
AM Nayar,664,551,74,120.51
AM Rahane,4640,3698,582,125.47
AN Ahmed,36,25,5,144.0
AN Ghosh,7,8,1,87.5
AP Dole,34,22,4,154.55
AP Majumdar,87,74,9,117.57
AP Tare,339,267,51,126.97
AR Bawne,12,12,1,100.0
AR Patel,1643,1240,185,132.5
AS Joseph,27,31,3,87.1
AS Rajpoot,26,40,3,65.0
AS Raut,194,167,20,116.17
AS Roy,26,23,3,113.04
AS Yadav,49,37,7,132.43
AT Carey,32,27,1,118.52
AT Rayudu,4325,3348,529,129.18
AU Rashid,21,15,3,140.0
AUK Pathan,39,23,7,169.57
Abdul Basith,1,1,0,100.0
Abdul Samad,574,388,72,147.94
Abdur Razzak,0,2,0,0.0
Abhishek Sharma,1369,871,200,157.18
Abishek Porel,359,234,52,153.42
Akash Deep,19,12,3,158.33
Akash Madhwal,4,4,0,100.0
Aman Hakim Khan,115,102,14,112.75
Anirudh Singh,63,66,7,95.45
Ankit Sharma,87,67,11,129.85
Ankit Soni,7,7,1,100.0
Anmolpreet Singh,139,115,22,120.87
Anuj Rawat,318,258,40,123.26
Anureet Singh,36,43,3,83.72
Arjun Tendulkar,13,9,1,144.44
Arshad Khan,96,63,11,152.38
Arshad Khan (2),5,4,1,125.0
Arshdeep Singh,29,39,4,74.36
Ashutosh Sharma,183,105,24,174.29
Atharva Taide,247,164,35,150.61
Avesh Khan,41,24,6,170.83
Azhar Mahmood,388,294,52,131.97
Azmatullah Omarzai,42,33,4,127.27
B Akhil,76,53,10,143.4
B Chipli,280,247,35,113.36
B Indrajith,21,30,2,70.0
B Kumar,306,316,33,96.84
B Laughlin,5,13,0,38.46
B Lee,124,94,16,131.91
B Sai Sudharsan,1018,727,125,140.03
B Stanlake,5,2,1,250.0
B Sumanth,35,37,3,94.59
BA Bhatt,6,7,1,85.71
BA Stokes,934,686,113,136.15
BAW Mendis,3,6,0,50.0
BB McCullum,2857,2124,418,134.51
BB Samantray,125,110,15,113.64
BB Sran,9,12,0,75.0
BCJ Cutting,238,137,34,173.72
BE Hendricks,1,3,0,33.33
BJ Haddin,18,11,3,163.64
BJ Hodge,1399,1099,165,127.3
BJ Rohrer,193,137,26,140.88
BMAJ Mendis,23,27,0,85.19
BR Dunk,40,33,7,121.21
BR Sharath,2,5,0,40.0
Basil Thampi,32,33,2,96.97
Bipul Sharma,187,121,20,154.55
C Green,699,452,93,154.65
C Madan,14,17,3,82.35
C Munro,177,139,27,127.34
C Nanda,0,1,0,0.0
C Sakariya,20,29,3,68.97
C de Grandhomme,297,219,35,135.62
CA Ingram,205,177,27,115.82
CA Lynn,1317,930,196,141.61
CA Pujara,390,381,54,102.36
CH Gayle,4956,3256,761,152.21
CH Morris,612,393,75,155.73
CJ Anderson,538,416,71,129.33
CJ Ferguson,98,116,9,84.48
CJ Jordan,81,74,6,109.46
CJ McKay,8,15,0,53.33
CK Kapugedera,16,21,0,76.19
CK Langeveldt,8,9,1,88.89
CL White,962,749,112,128.44
CM Gautam,169,140,23,120.71
CR Brathwaite,180,107,26,168.22
CR Woakes,78,77,9,101.3
CRD Fernando,4,3,0,133.33
CV Varun,25,45,2,55.56
D Brevis,230,172,33,133.72
D Ferreira,8,11,0,72.73
D Kalyankrishna,3,7,0,42.86
D Padikkal,1555,1238,212,125.61
D Pretorius,44,28,6,157.14
D Salunkhe,33,24,5,137.5
D Wiese,147,98,19,150.0
D du Preez,10,13,0,76.92
DA Miller,2913,2043,339,142.58
DA Warner,6537,4595,894,142.26
DAJ Bracewell,12,9,1,133.33
DB Das,304,250,39,121.6
DB Ravi Teja,373,304,44,122.7
DE Bollinger,21,21,2,100.0
DG Nalkande,12,12,1,100.0
DH Yagnik,168,126,25,133.33
DJ Bravo,1546,1169,184,132.25
DJ Harris,111,99,16,112.12
DJ Hooda,1455,1114,155,130.61
DJ Hussey,1316,1050,149,125.33
DJ Jacobs,92,92,14,100.0
DJ Malan,26,25,2,104.0
DJ Mitchell,351,265,38,132.45
DJ Muthuswami,1,3,0,33.33
DJ Thornely,39,49,4,79.59
DJ Willey,53,60,7,88.33
DJG Sammy,295,232,33,127.16
DJM Short,115,98,16,117.35
DL Chahar,80,57,8,140.35
DL Vettori,121,103,13,117.48
DM Bravo,6,5,1,120.0
DNT Zoysa,11,7,1,157.14
DP Conway,923,635,130,145.35
DP Nannes,4,13,0,30.77
DP Vijaykumar,1,1,0,100.0
DPMD Jayawardene,1806,1430,240,126.29
DR Martyn,19,24,1,79.17
DR Sams,44,44,4,100.0
DR Shorey,13,17,1,76.47
DR Smith,2379,1706,361,139.45
DS Kulkarni,104,106,9,98.11
DS Lehmann,18,17,3,105.88
DT Christian,452,388,41,116.49
DT Patil,13,13,1,100.0
DW Steyn,167,157,17,106.37
Dhruv Jurel,347,228,45,152.19
E Lewis,654,469,98,139.45
EJG Morgan,1406,1113,176,126.33
ER Dwivedi,24,13,4,184.62
F Behardien,14,13,2,107.69
F du Plessis,4566,3300,588,138.36
FA Allen,13,18,1,72.22
FH Edwards,4,5,0,80.0
FY Fazal,183,167,23,109.58
Fazalhaq Farooqi,3,13,0,23.08
G Coetzee,14,20,1,70.0
G Gambhir,4197,3329,548,126.07
GB Hogg,22,22,1,100.0
GC Smith,731,652,101,112.12
GC Viljoen,3,5,0,60.0
GD McGrath,4,5,1,80.0
GD Phillips,65,54,9,120.37
GH Vihari,281,316,24,88.92
GHS Garton,2,4,0,50.0
GJ Bailey,660,530,78,124.53
GJ Maxwell,2764,1712,391,161.45
GR Napier,15,16,1,93.75
Gulbadin Naib,19,15,2,126.67
Gurkeerat Singh,511,411,66,124.33
H Das,2,5,0,40.0
H Klaasen,987,580,120,170.17
HC Brook,186,152,26,122.37
HE van der Dussen,22,22,2,100.0
HF Gurney,1,5,0,20.0
HH Gibbs,886,781,114,113.44
HH Pandya,2521,1707,325,147.69
HM Amla,575,397,81,144.84
HR Shokeen,66,63,9,104.76
HV Patel,249,200,31,124.5
Harbhajan Singh,824,584,119,141.1
Harmeet Singh,18,12,3,150.0
Harpreet Brar,233,182,28,128.02
Harpreet Singh,119,115,12,103.48
Harshit Rana,2,3,0,66.67
I Malhotra,7,4,1,175.0
I Sharma,57,67,6,85.07
I Udana,15,11,2,136.36
IC Pandey,0,2,0,0.0
IK Pathan,1149,915,126,125.57
IR Jaggi,76,95,6,80.0
IS Sodhi,7,17,0,41.18
Imran Tahir,33,36,5,91.67
Iqbal Abdulla,87,77,10,112.99
Ishan Kishan,2635,1914,373,137.67
J Arunkumar,23,22,5,104.55
J Botha,408,351,44,116.24
J Fraser-McGurk,324,136,59,238.24
J Suchith,70,57,9,122.81
J Syed Mohammad,29,26,4,111.54
J Theron,10,12,1,83.33
J Yadav,40,36,3,111.11
JA Morkel,967,668,115,144.76
JA Richardson,17,26,2,65.38
JC Archer,186,123,23,151.22
JC Buttler,3559,2373,513,149.98
JD Ryder,596,444,86,134.23
JD Unadkat,197,161,23,122.36
JDP Oram,106,106,11,100.0
JDS Neesham,92,92,8,100.0
JE Root,10,15,1,66.67
JE Taylor,3,3,0,100.0
JEC Franklin,327,294,34,111.22
JH Kallis,2419,2182,298,110.86
JJ Bumrah,68,76,6,89.47
JJ Roy,614,433,96,141.8
JJ van der Wath,18,16,2,112.5
JL Denly,0,1,0,0.0
JL Pattinson,15,13,2,115.38
JM Bairstow,1587,1079,235,147.08
JM Kemp,26,24,2,108.33
JM Sharma,723,476,97,151.89
JO Holder,259,206,31,125.73
JP Behrendorff,6,9,0,66.67
JP Duminy,2026,1595,205,127.02
JP Faulkner,524,379,59,138.26
JPR Scantlebury-Searles,8,6,1,133.33
JR Hazlewood,19,28,1,67.86
JR Hopes,417,304,60,137.17
JR Philippe,78,76,10,102.63
Jaskaran Singh,8,11,0,72.73
Joginder Sharma,36,30,3,120.0
K Goel,218,223,26,97.76
K Gowtham,247,145,32,170.34
K Kartikeya,9,11,1,81.82
K Rabada,206,188,24,109.57
K Upadhyay,12,9,1,133.33
K Yadav,0,4,0,0.0
KA Jamieson,65,51,8,127.45
KA Maharaj,1,2,0,50.0
KA Pollard,3411,2260,441,150.93
KAJ Roach,10,9,1,111.11
KB Arun Karthik,51,46,5,110.87
KC Cariappa,24,21,2,114.29
KC Sangakkara,1680,1354,221,124.08
KD Karthik,4824,3502,623,137.75
KH Pandya,1643,1209,204,135.9
KJ Abbott,13,8,1,162.5
KK Ahmed,1,7,0,14.29
KK Cooper,115,66,17,174.24
KK Nair,1491,1148,199,129.88
KL Nagarkoti,22,33,1,66.67
KL Rahul,4680,3428,586,136.52
KM Asif,0,2,0,0.0
KM Jadhav,1191,953,140,124.97
KMA Paul,18,22,2,81.82
KMDN Kulasekara,5,2,1,250.0
KP Appanna,2,3,0,66.67
KP Pietersen,1000,724,131,138.12
KR Mayers,373,253,59,147.43
KR Sen,0,3,0,0.0
KS Bharat,198,158,20,125.32
KS Sharma,16,25,1,64.0
KS Williamson,2128,1667,251,127.65
KV Sharma,351,282,37,124.47
KW Richardson,36,39,3,92.31
Kamran Akmal,124,75,20,165.33
Kamran Khan,3,5,0,60.0
Karanveer Singh,12,17,1,70.59
Kartik Tyagi,13,15,1,86.67
Kuldeep Yadav,183,212,19,86.32
Kumar Kushagra,3,7,0,42.86
L Ablish,0,2,0,0.0
L Balaji,36,46,3,78.26
L Ronchi,34,34,7,100.0
L Wood,9,3,1,300.0
LA Carseldine,80,65,11,123.08
LA Pomersbach,301,233,38,129.18
LB Williams,1,2,0,50.0
LE Plunkett,1,3,0,33.33
LH Ferguson,64,44,7,145.45
LJ Wright,102,59,18,172.88
LMP Simmons,1079,835,153,129.22
LPC Silva,40,24,6,166.67
LR Shukla,405,336,49,120.54
LRPL Taylor,1010,794,111,127.2
LS Livingstone,923,559,129,165.12
Lalit Yadav,294,277,32,106.14
Liton Das,4,4,1,100.0
M Ashwin,35,50,3,70.0
M Jansen,66,62,7,106.45
M Kaif,259,244,28,106.15
M Kartik,112,105,8,106.67
M Klinger,72,74,9,97.3
M Manhas,514,463,53,111.02
M Markande,48,38,6,126.32
M Morkel,122,89,15,137.08
M Muralitharan,20,28,1,71.43
M Ntini,11,18,2,61.11
M Prasidh Krishna,9,24,0,37.5
M Rawat,55,66,5,83.33
M Shahrukh Khan,553,385,72,143.64
M Theekshana,7,6,1,116.67
M Vijay,2619,2114,338,123.89
M Vohra,1083,815,147,132.88
M de Lange,1,2,0,50.0
MA Agarwal,2651,1960,360,135.26
MA Khote,24,19,3,126.32
MA Starc,105,104,11,100.96
MA Wood,12,8,2,150.0
MC Henriques,996,772,114,129.02
MC Juneja,125,125,12,100.0
MD Mishra,235,202,32,116.34
MD Shanaka,26,26,3,100.0
MDKJ Perera,14,12,3,116.67
MEK Hussey,1976,1576,250,125.38
MF Maharoof,177,120,21,147.5
MG Bracewell,58,44,7,131.82
MG Johnson,166,156,17,106.41
MJ Clarke,98,91,12,107.69
MJ Guptill,265,195,38,135.9
MJ Lumb,278,185,51,150.27
MJ McClenaghan,84,67,12,125.37
MJ Santner,69,68,7,101.47
MJ Suthar,1,2,0,50.0
MK Lomror,526,358,63,146.93
MK Pandey,3840,3144,443,122.14
MK Tiwary,1685,1420,194,118.66
ML Hayden,1096,775,163,141.42
MM Ali,1160,801,162,144.82
MM Patel,39,40,5,97.5
MM Sharma,124,129,13,96.12
MN Samuels,161,163,16,98.77
MN van Wyk,163,127,19,128.35
MP Stoinis,1856,1289,239,143.99
MR Marsh,665,511,86,130.14
MS Bisla,794,676,115,117.46
MS Dhoni,5213,3715,612,140.32
MS Gony,99,69,14,143.48
MS Wade,183,172,25,106.4
MV Boucher,387,299,44,129.43
MW Short,117,90,19,130.0
Mandeep Singh,1705,1359,214,125.46
Mashrafe Mortaza,2,2,0,100.0
Mayank Dagar,0,1,0,0.0
Misbah-ul-Haq,117,79,16,148.1
Mohammad Ashraful,2,9,0,22.22
Mohammad Asif,3,6,0,50.0
Mohammad Hafeez,64,79,9,81.01
Mohammad Nabi,215,145,29,148.28
Mohammed Shami,74,77,8,96.1
Mohammed Siraj,109,114,14,95.61
Mohit Rathee,1,2,0,50.0
Mohsin Khan,25,24,3,104.17
Mujeeb Ur Rahman,12,13,2,92.31
Mukesh Choudhary,6,6,1,100.0
Mukesh Kumar,10,18,0,55.56
Mustafizur Rahman,13,23,1,56.52
N Jagadeesan,162,146,23,110.96
N Pooran,1769,1074,240,164.71
N Rana,2621,1914,363,136.94
N Saini,140,138,16,101.45
N Wadhera,350,246,50,142.28
ND Doshi,0,13,0,0.0
NJ Maddinson,20,21,4,95.24
NJ Rimmington,1,1,0,100.0
NK Patel,121,117,15,103.42
NL McCullum,26,21,1,123.81
NLTC Perera,421,298,49,141.28
NM Coulter-Nile,82,71,11,115.49
NS Naik,31,49,2,63.27
NT Ellis,19,25,1,76.0
NV Ojha,1543,1290,198,119.61
Naman Dhir,140,76,22,184.21
Navdeep Saini,33,36,3,91.67
Naveen-ul-Haq,18,21,2,85.71
Nithish Kumar Reddy,303,211,36,143.6
Noor Ahmad,13,18,2,72.22
OA Shah,505,376,57,134.31
OC McCoy,8,5,1,160.0
OF Smith,51,44,6,115.91
P Awana,5,14,0,35.71
P Chopra,8,6,2,133.33
P Dogra,127,137,9,92.7
P Dubey,23,32,2,71.88
P Kumar,338,305,39,110.82
P Negi,364,280,43,130.0
P Parameswaran,1,2,0,50.0
P Ray Barman,19,24,2,79.17
P Sahu,19,13,2,146.15
P Simran Singh,750,508,118,147.64
PA Patel,2841,2285,413,124.33
PA Reddy,164,160,17,102.5
PBB Rajapaksa,276,184,37,150.0
PC Valthaty,499,408,80,122.3
PD Collingwood,203,153,22,132.68
PD Salt,652,360,108,181.11
PJ Cummins,510,333,67,153.15
PJ Sangwan,26,43,1,60.47
PK Garg,269,235,24,114.47
PM Sarvesh Kumar,1,2,0,50.0
PN Mankad,97,71,15,136.62
PP Chawla,623,542,76,114.94
PP Ojha,16,40,0,40.0
PP Shaw,1890,1267,299,149.17
PR Shah,91,85,11,107.06
PSP Handscomb,6,12,0,50.0
PV Tambe,18,37,1,48.65
PVD Chameera,43,27,6,159.26
PWH de Silva,72,73,8,98.63
Pankaj Singh,7,12,0,58.33
Parvez Rasool,17,19,1,89.47
Q de Kock,3152,2309,438,136.51
R Ashwin,799,660,89,121.06
R Bhatia,342,277,37,123.47
R Bishnoi,19,17,3,111.76
R Dhawan,210,184,25,114.13
R Dravid,2173,1844,297,117.84
R McLaren,159,167,15,95.21
R Ninan,3,5,0,60.0
R Parag,1173,855,144,137.19
R Powell,360,241,49,149.38
R Rampaul,50,47,5,106.38
R Ravindra,218,136,33,160.29
R Sai Kishore,13,5,2,260.0
R Sanjay Yadav,0,2,0,0.0
R Sathish,269,222,28,121.17
R Sharma,66,72,8,91.67
R Shepherd,115,60,17,191.67
R Shukla,19,23,2,82.61
R Tewatia,1011,728,131,138.87
R Vinay Kumar,310,267,30,116.1
RA Bawa,11,14,1,78.57
RA Jadeja,2942,2219,321,132.58
RA Tripathi,2213,1571,302,140.87
RD Chahar,129,124,18,104.03
RD Gaikwad,2372,1716,307,138.23
RE Levi,83,69,14,120.29
RE van der Merwe,159,139,19,114.39
RG More,2,2,0,100.0
RG Sharma,6588,4985,873,132.16
RJ Gleeson,2,1,0,200.0
RJ Harris,116,110,9,105.45
RJ Peterson,32,28,4,114.29
